loan_amnt,term,int_rate,grade,emp_length,home_ownership,annual_inc,purpose,dti,delinq_2yrs,fico_score,inq_last_6mths,open_acc,revol_util,total_acc,tot_cur_bal,total_rev_hi_lim,num_tl_op_past_12m,acc_now_delinq,pub_rec_bankruptcies
30000.0,60,28.88,6,2,0,108000.0,0,25.79,0.0,707.0,0.0,7.0,97.6,19.0,67230.0,13900.0,2.0,0.0,0.0
16000.0,60,12.88,2,0,2,67000.0,0,23.54,6.0,662.0,0.0,11.0,42.9,33.0,42615.0,26100.0,2.0,0.0,0.0
35000.0,36,9.16,1,8,2,662000.0,0,9.67,0.0,682.0,0.0,7.0,104.1,18.0,90428.0,73600.0,0.0,0.0,0.0
8000.0,36,10.75,1,10,0,45000.0,0,23.73,0.0,692.0,0.0,11.0,42.1,21.0,29476.0,23200.0,1.0,0.0,1.0
22000.0,36,5.32,0,-1,2,90000.0,0,16.58,0.0,797.0,0.0,11.0,32.5,30.0,318657.0,60700.0,3.0,0.0,0.0
10000.0,36,11.49,1,10,0,44000.0,1,17.62,0.0,697.0,0.0,9.0,51.2,9.0,28671.0,11300.0,1.0,0.0,0.0
32000.0,36,14.85,2,1,0,64000.0,0,25.22,0.0,692.0,0.0,15.0,88.4,19.0,173478.0,74600.0,1.0,0.0,0.0
10000.0,60,18.25,3,2,0,73000.0,0,37.66,0.0,682.0,1.0,20.0,94.2,36.0,224636.0,68500.0,1.0,0.0,0.0
5000.0,36,6.99,0,10,2,53000.0,12,16.58,0.0,787.0,1.0,13.0,1.9,19.0,143766.0,24100.0,1.0,0.0,0.0
15000.0,36,19.99,3,10,2,60000.0,0,30.32,0.0,697.0,0.0,17.0,62.5,31.0,195534.0,21100.0,0.0,0.0,0.0
8000.0,36,9.16,1,10,0,80000.0,0,15.8,2.0,662.0,2.0,12.0,44.6,39.0,37378.0,21000.0,2.0,0.0,0.0
35000.0,36,11.44,1,10,0,300000.0,3,14.69,1.0,672.0,0.0,4.0,90.2,17.0,83406.0,33000.0,0.0,0.0,0.0
16800.0,36,13.49,2,4,0,60000.0,2,1.3,0.0,717.0,2.0,8.0,11.0,17.0,16658.0,10800.0,2.0,0.0,0.0
6400.0,36,15.31,2,0,2,75000.0,0,36.54,1.0,667.0,0.0,13.0,72.4,28.0,112930.0,41000.0,0.0,0.0,0.0
4000.0,36,7.49,0,-1,2,72000.0,1,7.15,0.0,807.0,0.0,15.0,3.2,41.0,230298.0,122200.0,4.0,0.0,0.0
15000.0,36,5.32,0,0,0,90000.0,0,9.21,0.0,817.0,1.0,5.0,3.7,12.0,5448.0,27100.0,0.0,0.0,0.0
5925.0,36,14.85,2,10,0,20000.0,0,23.53,0.0,687.0,0.0,3.0,79.2,10.0,9683.0,5000.0,1.0,0.0,0.0
12000.0,36,13.99,2,6,1,54000.0,1,21.16,0.0,667.0,0.0,6.0,55.8,20.0,224548.0,5600.0,0.0,0.0,0.0
20000.0,36,10.49,1,2,0,93000.0,0,10.32,0.0,692.0,0.0,10.0,60.1,20.0,54594.0,46300.0,0.0,0.0,0.0
15000.0,60,11.49,1,8,0,130000.0,1,9.88,1.0,667.0,0.0,5.0,48.0,15.0,52223.0,19720.0,2.0,0.0,1.0
5400.0,36,11.49,1,3,0,48000.0,12,29.5,0.0,752.0,1.0,19.0,20.7,42.0,124105.0,36700.0,2.0,0.0,0.0
3000.0,36,13.99,2,10,1,125000.0,0,17.94,0.0,732.0,0.0,6.0,58.6,16.0,128632.0,9000.0,1.0,0.0,0.0
20000.0,60,10.49,1,4,0,100000.0,0,11.03,0.0,697.0,2.0,19.0,39.9,23.0,43543.0,53500.0,2.0,0.0,0.0
35000.0,60,21.97,4,10,2,125000.0,0,20.13,1.0,662.0,1.0,13.0,53.0,29.0,334238.0,25100.0,3.0,0.0,0.0
40000.0,36,11.49,1,9,2,97140.0,2,10.54,0.0,757.0,0.0,7.0,40.3,17.0,246689.0,25700.0,1.0,0.0,0.0
27000.0,36,7.39,0,6,0,140000.0,1,11.16,1.0,722.0,1.0,16.0,22.5,33.0,118764.0,41000.0,2.0,0.0,0.0
2000.0,36,12.99,2,0,1,15000.0,1,5.52,0.0,687.0,1.0,2.0,69.0,3.0,2138.0,3100.0,0.0,0.0,0.0
26000.0,60,12.74,2,4,0,116500.0,1,20.53,1.0,662.0,0.0,32.0,39.8,66.0,446912.0,93700.0,2.0,0.0,0.0
35000.0,36,18.25,3,8,2,77000.0,0,24.58,1.0,687.0,1.0,6.0,68.7,15.0,305592.0,2500.0,4.0,0.0,0.0
20000.0,36,13.99,2,4,2,80000.0,2,18.51,2.0,697.0,0.0,16.0,29.8,41.0,266747.0,29200.0,0.0,0.0,0.0
20000.0,36,13.67,2,-1,1,40000.0,2,22.92,0.0,702.0,0.0,10.0,33.4,18.0,27949.0,29900.0,1.0,0.0,0.0
3000.0,36,13.99,2,5,1,74000.0,2,2.4,0.0,717.0,3.0,5.0,11.1,6.0,274011.0,12400.0,3.0,0.0,0.0
20000.0,36,10.75,1,10,0,50000.0,0,28.73,1.0,697.0,0.0,10.0,45.5,17.0,42225.0,59400.0,0.0,0.0,0.0
24425.0,60,19.48,4,10,2,100000.0,12,32.36,1.0,662.0,0.0,16.0,73.1,29.0,522612.0,54300.0,3.0,0.0,0.0
29900.0,60,25.69,5,0,0,65000.0,0,15.88,0.0,672.0,1.0,22.0,38.1,53.0,122253.0,44500.0,6.0,0.0,0.0
6000.0,36,8.59,0,10,2,45000.0,12,22.53,0.0,717.0,0.0,11.0,64.2,35.0,217937.0,12500.0,1.0,0.0,0.0
6025.0,36,10.75,1,10,0,32000.0,1,10.92,0.0,687.0,0.0,11.0,37.8,13.0,6656.0,17600.0,1.0,0.0,0.0
8000.0,36,12.99,2,6,2,70000.0,2,3.33,1.0,672.0,0.0,6.0,48.3,9.0,134336.0,9900.0,2.0,0.0,1.0
12000.0,36,7.89,0,2,0,35000.0,1,30.32,0.0,682.0,0.0,21.0,54.3,48.0,37668.0,30900.0,1.0,0.0,0.0
5000.0,36,10.49,1,5,0,50003.0,12,15.43,0.0,677.0,0.0,6.0,73.2,14.0,91109.0,8500.0,1.0,0.0,0.0
5000.0,36,18.99,3,0,2,125000.0,0,21.72,0.0,702.0,0.0,18.0,83.9,52.0,219049.0,63400.0,1.0,0.0,0.0
12000.0,60,16.29,3,2,0,35000.0,0,11.49,0.0,662.0,0.0,4.0,76.6,15.0,9581.0,4200.0,4.0,0.0,0.0
25000.0,36,9.75,1,4,0,90000.0,1,24.86,0.0,702.0,0.0,11.0,59.8,20.0,87940.0,39700.0,3.0,0.0,0.0
7950.0,36,14.46,2,5,2,44000.0,0,30.22,2.0,662.0,0.0,13.0,84.5,38.0,173361.0,12400.0,1.0,0.0,0.0
4500.0,36,11.49,1,7,1,45000.0,1,12.69,0.0,667.0,1.0,8.0,76.6,12.0,11786.0,14200.0,2.0,0.0,0.0
15000.0,36,6.49,0,6,2,100000.0,1,18.1,1.0,717.0,0.0,13.0,19.9,32.0,252103.0,32700.0,2.0,0.0,0.0
35000.0,60,21.97,4,10,2,139000.0,0,19.51,0.0,677.0,1.0,11.0,114.0,32.0,109066.0,30800.0,3.0,0.0,0.0
7500.0,36,12.99,2,-1,0,30654.0,0,18.13,0.0,667.0,0.0,6.0,38.0,48.0,6327.0,7700.0,3.0,0.0,0.0
16000.0,60,15.99,2,8,0,85000.0,1,27.71,0.0,677.0,0.0,23.0,67.3,39.0,126775.0,40300.0,4.0,0.0,0.0
3000.0,36,13.49,2,4,1,18000.0,6,15.07,0.0,707.0,1.0,5.0,34.8,13.0,4901.0,6200.0,4.0,0.0,0.0
12000.0,60,18.99,3,7,2,91000.0,0,8.39,0.0,672.0,0.0,12.0,64.9,16.0,40968.0,15000.0,3.0,0.0,0.0
21000.0,36,17.27,3,3,2,120000.0,1,13.08,0.0,717.0,3.0,13.0,28.4,15.0,147005.0,56700.0,2.0,0.0,0.0
8000.0,36,11.47,1,10,0,80000.0,0,26.39,0.0,672.0,0.0,15.0,59.3,34.0,91036.0,59200.0,1.0,0.0,0.0
30000.0,60,22.45,4,3,2,65000.0,0,32.9,0.0,702.0,0.0,10.0,64.8,17.0,86189.0,19500.0,2.0,0.0,1.0
12000.0,36,7.39,0,3,0,48000.0,2,13.87,0.0,697.0,2.0,11.0,23.1,21.0,35482.0,34100.0,2.0,0.0,0.0
12800.0,60,15.99,2,6,2,60000.0,1,34.38,0.0,687.0,0.0,9.0,85.5,28.0,295570.0,22000.0,3.0,0.0,0.0
8000.0,36,12.99,2,4,0,49000.0,11,35.17,0.0,667.0,1.0,30.0,62.3,38.0,168961.0,12800.0,3.0,0.0,0.0
18000.0,36,13.99,2,10,0,75000.0,0,8.13,2.0,662.0,2.0,11.0,55.6,29.0,10815.0,23400.0,7.0,0.0,0.0
3600.0,36,12.88,2,10,2,58000.0,2,23.79,0.0,667.0,0.0,31.0,45.5,44.0,83866.0,46600.0,7.0,0.0,0.0
8000.0,36,15.59,2,2,2,65000.0,0,14.32,0.0,692.0,1.0,10.0,32.2,14.0,191272.0,23200.0,3.0,0.0,0.0
18900.0,60,24.74,4,10,2,45000.0,0,23.01,0.0,662.0,0.0,8.0,78.6,14.0,158763.0,21400.0,2.0,0.0,0.0
16000.0,60,6.49,0,0,2,110000.0,0,10.0,1.0,757.0,1.0,24.0,11.0,38.0,195286.0,122500.0,4.0,0.0,0.0
30000.0,36,8.99,1,4,2,90000.0,0,16.93,0.0,682.0,0.0,12.0,72.5,15.0,145630.0,36800.0,0.0,0.0,0.0
16000.0,36,11.49,1,1,2,185000.0,0,22.07,1.0,702.0,1.0,16.0,88.4,42.0,372853.0,40700.0,5.0,0.0,0.0
20000.0,60,19.99,3,10,2,69000.0,1,20.73,2.0,662.0,3.0,9.0,93.5,14.0,166120.0,6500.0,1.0,0.0,0.0
6000.0,36,9.75,1,3,1,26000.0,2,1.15,0.0,697.0,2.0,4.0,1.1,8.0,20921.0,13800.0,1.0,0.0,0.0
18000.0,36,14.49,2,1,0,60000.0,0,30.2,0.0,742.0,0.0,15.0,20.7,25.0,53231.0,22300.0,3.0,0.0,0.0
5600.0,36,11.49,1,3,1,61440.0,12,21.68,0.0,662.0,0.0,9.0,2.4,22.0,295304.0,7700.0,4.0,0.0,2.0
